user,time,lat,lon,poi,user_id,poi_id,hour
777,2010-09-05 11:50:36+00:00,33.8141482833,-117.9246720333,40564.0,646,7570,11
6595,2010-08-29 10:18:29+00:00,52.4775070815,-1.894068718,141779.0,4767,19181,10
776,2010-08-12 12:12:11+00:00,40.786325508,-73.9670419693,1533787.0,645,63678,12
3838,2009-12-16 05:58:51+00:00,33.2240125,-96.9073710333,216106.0,2991,24562,5
865,2010-07-22 16:29:28+00:00,32.7089410019,-117.1591150761,16770.0,713,2305,16
5739,2010-05-02 02:53:00+00:00,30.2687073033,-97.7541803506,787182.0,4246,47819,2
1307,2010-07-16 00:47:00+00:00,37.7836977667,-121.9791599333,1296602.0,1060,59515,0
4785,2009-10-31 17:04:38+00:00,51.5134701,-0.1253120167,34259.0,3629,6329,17
3167,2010-01-16 21:42:20+00:00,33.63754433,-112.2538259,389866.0,2504,33845,21
9052,2010-08-05 20:48:29+00:00,40.0180653735,-105.2798366547,70085.0,5972,12164,20
3591,2010-03-13 05:22:00+00:00,30.3204209494,-97.7100202208,688839.0,2835,44734,5
6155,2010-04-23 21:00:36+00:00,30.2296757667,-97.8219223,16523.0,4497,2254,21
1711,2010-07-09 20:36:22+00:00,43.5430423366,-70.3230249882,558768.0,1360,40313,20
1542,2010-09-24 19:30:05+00:00,32.835512682,-96.751380559,3680689.0,1235,67159,19
2031,2010-07-15 21:02:06+00:00,59.1939044667,18.1847868,1026275.0,1608,54032,21
8211,2010-06-25 03:24:00+00:00,33.7900501833,-84.2758909833,685815.0,5500,44625,3
8593,2010-01-16 00:16:04+00:00,37.3243687,-122.0454268333,389668.0,5716,33824,0
611,2009-12-30 22:24:14+00:00,37.8247770415,-122.3138004541,10130.0,520,521,22
291,2010-04-01 18:29:51+00:00,28.0877609266,-82.4044494632,98817.0,248,15465,18
1546,2010-06-01 17:57:57+00:00,40.8638743983,-73.8769626617,9818.0,1239,397,17
2413,2010-08-29 02:12:34+00:00,32.8990426062,-117.1916234493,463676.0,1897,36958,2
531,2010-09-09 04:26:38+00:00,34.0782198167,-118.12520255,1303462.0,450,59640,4
1763,2010-10-16 17:43:20+00:00,42.723935217,-73.684284967,1198212.0,1403,57661,17
5712,2010-10-03 21:43:18+00:00,32.73826575,-97.36988265,963159.0,4227,52452,21
6425,2010-05-16 23:51:56+00:00,35.4808336167,-97.5479484,688978.0,4675,44743,23
4318,2009-06-14 22:34:43+00:00,47.5982579001,-122.3249316216,13104.0,3301,1459,22
1638,2010-09-04 01:59:13+00:00,39.9493915151,-75.1303911209,2954978.0,1305,66384,1
2338,2010-06-21 00:04:24+00:00,33.7456281811,-118.0122828484,209798.0,1838,24054,0
430,2010-05-14 02:35:25+00:00,45.5261099405,-122.6944344908,22764.0,365,3679,2
6152,2009-10-04 18:54:01+00:00,30.2741077033,-97.741419822,14578.0,4495,1789,18
4799,2009-11-18 19:32:29+00:00,32.9397964833,-96.8211770167,46839.0,3641,8677,19
9358,2010-05-24 18:22:36+00:00,38.5445388,-90.2721444,1166759.0,6112,57006,18
2991,2010-09-09 13:12:36+00:00,30.5095117825,-97.6798805594,13168.0,2363,1469,13
4216,2010-03-19 00:45:21+00:00,42.7895431223,-86.1045956612,48462.0,3222,8953,0
728,2010-09-17 22:15:31+00:00,39.74749213,-104.9999223,2768467.0,609,66190,22
7756,2010-07-18 19:56:46+00:00,37.7615082532,-122.4257665873,13338.0,5321,1509,19
5222,2010-09-22 17:29:59+00:00,30.5224262289,-97.8344213963,43103.0,3928,8024,17
3716,2009-12-29 14:28:35+00:00,33.9094144667,-98.4928263833,93147.0,2915,14901,14
3082,2010-01-22 00:25:50+00:00,39.8745655167,-75.2476874,383468.0,2432,33582,0
1251,2010-09-05 21:28:39+00:00,21.614586533,39.1568193,2736834.0,1019,66145,21
1973,2010-07-10 01:16:13+00:00,40.6776326752,-73.955335179,1414345.0,1568,61624,1
3486,2010-09-19 13:09:24+00:00,60.86008035,8.5166127667,842682.0,2760,49350,13
1752,2010-09-30 16:08:48+00:00,38.6580401659,-75.592610836,4597753.0,1393,67968,16
523,2010-05-14 14:18:57+00:00,38.8967800862,-77.0317351686,95231.0,445,15100,14
939,2010-10-18 16:38:20+00:00,62.52691459,17.46751284,3890039.0,768,67359,16
3475,2010-05-01 00:11:16+00:00,44.9510488148,-93.3091700077,11425.0,2751,964,0
10,2010-09-27 20:28:39+00:00,38.9022293091,-94.7695054753,468694.0,7,37134,20
1251,2010-08-02 18:30:34+00:00,21.5815286,39.14781099,1086022.0,1019,55290,18
5246,2010-03-21 23:18:59+00:00,36.0411064505,-115.1842150226,342260.0,3946,31539,23
